scenario,seed,window_start,window_end,event,count_in_last_window
ALL_MC_BASELINE,8,2026-12-05,2027-01-04,mri_performed,9
ALL_MC_BASELINE,8,2026-12-05,2027-01-04,biopsy_done,5
ALL_MC_BASELINE,8,2026-12-05,2027-01-04,Path_report_recieved,6
ALL_MC_BASELINE,8,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,8,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
PROSTAD,8,2026-12-05,2027-01-04,mri_performed,12
PROSTAD,8,2026-12-05,2027-01-04,biopsy_done,4
PROSTAD,8,2026-12-05,2027-01-04,Path_report_recieved,4
PROSTAD,8,2026-12-05,2027-01-04,Treatment_options_MDT_occured,3
PROSTAD,8,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
ALL_MC_BASELINE,9,2026-12-04,2027-01-03,mri_performed,14
ALL_MC_BASELINE,9,2026-12-04,2027-01-03,biopsy_done,10
ALL_MC_BASELINE,9,2026-12-04,2027-01-03,Path_report_recieved,10
ALL_MC_BASELINE,9,2026-12-04,2027-01-03,Treatment_options_MDT_occured,9
ALL_MC_BASELINE,9,2026-12-04,2027-01-03,Outpatient_appointment_occured,6
PROSTAD,9,2026-12-02,2027-01-01,mri_performed,13
PROSTAD,9,2026-12-02,2027-01-01,biopsy_done,6
PROSTAD,9,2026-12-02,2027-01-01,Path_report_recieved,9
PROSTAD,9,2026-12-02,2027-01-01,Treatment_options_MDT_occured,5
PROSTAD,9,2026-12-02,2027-01-01,Outpatient_appointment_occured,7
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,mri_performed,16
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,biopsy_done,10
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Path_report_recieved,8
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Outpatient_appointment_occured,8
PROSTAD,10,2026-12-04,2027-01-03,mri_performed,16
PROSTAD,10,2026-12-04,2027-01-03,biopsy_done,9
PROSTAD,10,2026-12-04,2027-01-03,Path_report_recieved,10
PROSTAD,10,2026-12-04,2027-01-03,Treatment_options_MDT_occured,6
PROSTAD,10,2026-12-04,2027-01-03,Outpatient_appointment_occured,4
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,mri_performed,7
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,biopsy_done,5
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Path_report_recieved,6
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Treatment_options_MDT_occured,4
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
PROSTAD,11,2026-12-05,2027-01-04,mri_performed,9
PROSTAD,11,2026-12-05,2027-01-04,biopsy_done,5
PROSTAD,11,2026-12-05,2027-01-04,Path_report_recieved,4
PROSTAD,11,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
PROSTAD,11,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,mri_performed,17
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,biopsy_done,9
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Path_report_recieved,8
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Treatment_options_MDT_occured,7
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
PROSTAD,12,2026-12-05,2027-01-04,mri_performed,13
PROSTAD,12,2026-12-05,2027-01-04,biopsy_done,6
PROSTAD,12,2026-12-05,2027-01-04,Path_report_recieved,10
PROSTAD,12,2026-12-05,2027-01-04,Treatment_options_MDT_occured,6
PROSTAD,12,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
ALL_MC_BASELINE,13,2026-12-05,2027-01-04,mri_performed,9
ALL_MC_BASELINE,13,2026-12-05,2027-01-04,biopsy_done,6
ALL_MC_BASELINE,13,2026-12-05,2027-01-04,Path_report_recieved,5
ALL_MC_BASELINE,13,2026-12-05,2027-01-04,Treatment_options_MDT_occured,4
ALL_MC_BASELINE,13,2026-12-05,2027-01-04,Outpatient_appointment_occured,4
PROSTAD,13,2026-12-04,2027-01-03,mri_performed,7
PROSTAD,13,2026-12-04,2027-01-03,biopsy_done,6
PROSTAD,13,2026-12-04,2027-01-03,Path_report_recieved,6
PROSTAD,13,2026-12-04,2027-01-03,Treatment_options_MDT_occured,4
PROSTAD,13,2026-12-04,2027-01-03,Outpatient_appointment_occured,3
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,mri_performed,10
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,biopsy_done,4
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Path_report_recieved,7
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Outpatient_appointment_occured,8
PROSTAD,14,2026-12-04,2027-01-03,mri_performed,10
PROSTAD,14,2026-12-04,2027-01-03,biopsy_done,6
PROSTAD,14,2026-12-04,2027-01-03,Path_report_recieved,7
PROSTAD,14,2026-12-04,2027-01-03,Treatment_options_MDT_occured,5
PROSTAD,14,2026-12-04,2027-01-03,Outpatient_appointment_occured,7
ALL_MC_BASELINE,15,2026-12-04,2027-01-03,mri_performed,12
ALL_MC_BASELINE,15,2026-12-04,2027-01-03,biopsy_done,8
ALL_MC_BASELINE,15,2026-12-04,2027-01-03,Path_report_recieved,9
ALL_MC_BASELINE,15,2026-12-04,2027-01-03,Treatment_options_MDT_occured,7
ALL_MC_BASELINE,15,2026-12-04,2027-01-03,Outpatient_appointment_occured,7
PROSTAD,15,2026-12-04,2027-01-03,mri_performed,13
PROSTAD,15,2026-12-04,2027-01-03,biopsy_done,5
PROSTAD,15,2026-12-04,2027-01-03,Path_report_recieved,9
PROSTAD,15,2026-12-04,2027-01-03,Treatment_options_MDT_occured,9
PROSTAD,15,2026-12-04,2027-01-03,Outpatient_appointment_occured,10
ALL_MC_BASELINE,16,2026-12-05,2027-01-04,mri_performed,15
ALL_MC_BASELINE,16,2026-12-05,2027-01-04,biopsy_done,14
ALL_MC_BASELINE,16,2026-12-05,2027-01-04,Path_report_recieved,11
ALL_MC_BASELINE,16,2026-12-05,2027-01-04,Treatment_options_MDT_occured,10
ALL_MC_BASELINE,16,2026-12-05,2027-01-04,Outpatient_appointment_occured,9
PROSTAD,16,2026-12-05,2027-01-04,mri_performed,16
PROSTAD,16,2026-12-05,2027-01-04,biopsy_done,10
PROSTAD,16,2026-12-05,2027-01-04,Path_report_recieved,12
PROSTAD,16,2026-12-05,2027-01-04,Treatment_options_MDT_occured,8
PROSTAD,16,2026-12-05,2027-01-04,Outpatient_appointment_occured,7
ALL_MC_BASELINE,17,2026-12-05,2027-01-04,mri_performed,9
ALL_MC_BASELINE,17,2026-12-05,2027-01-04,biopsy_done,6
ALL_MC_BASELINE,17,2026-12-05,2027-01-04,Path_report_recieved,5
ALL_MC_BASELINE,17,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,17,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
PROSTAD,17,2026-12-05,2027-01-04,mri_performed,11
PROSTAD,17,2026-12-05,2027-01-04,biopsy_done,6
PROSTAD,17,2026-12-05,2027-01-04,Path_report_recieved,7
PROSTAD,17,2026-12-05,2027-01-04,Treatment_options_MDT_occured,4
PROSTAD,17,2026-12-05,2027-01-04,Outpatient_appointment_occured,4
ALL_MC_BASELINE,18,2026-12-05,2027-01-04,mri_performed,6
ALL_MC_BASELINE,18,2026-12-05,2027-01-04,biopsy_done,8
ALL_MC_BASELINE,18,2026-12-05,2027-01-04,Path_report_recieved,8
ALL_MC_BASELINE,18,2026-12-05,2027-01-04,Treatment_options_MDT_occured,7
ALL_MC_BASELINE,18,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
PROSTAD,18,2026-12-02,2027-01-01,mri_performed,9
PROSTAD,18,2026-12-02,2027-01-01,biopsy_done,7
PROSTAD,18,2026-12-02,2027-01-01,Path_report_recieved,6
PROSTAD,18,2026-12-02,2027-01-01,Treatment_options_MDT_occured,7
PROSTAD,18,2026-12-02,2027-01-01,Outpatient_appointment_occured,5
ALL_MC_BASELINE,19,2026-12-05,2027-01-04,mri_performed,6
ALL_MC_BASELINE,19,2026-12-05,2027-01-04,biopsy_done,12
ALL_MC_BASELINE,19,2026-12-05,2027-01-04,Path_report_recieved,14
ALL_MC_BASELINE,19,2026-12-05,2027-01-04,Treatment_options_MDT_occured,9
ALL_MC_BASELINE,19,2026-12-05,2027-01-04,Outpatient_appointment_occured,4
PROSTAD,19,2026-12-05,2027-01-04,mri_performed,8
PROSTAD,19,2026-12-05,2027-01-04,biopsy_done,12
PROSTAD,19,2026-12-05,2027-01-04,Path_report_recieved,11
PROSTAD,19,2026-12-05,2027-01-04,Treatment_options_MDT_occured,7
PROSTAD,19,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
ALL_MC_BASELINE,20,2026-12-03,2027-01-02,mri_performed,9
ALL_MC_BASELINE,20,2026-12-03,2027-01-02,biopsy_done,3
ALL_MC_BASELINE,20,2026-12-03,2027-01-02,Path_report_recieved,5
ALL_MC_BASELINE,20,2026-12-03,2027-01-02,Treatment_options_MDT_occured,6
ALL_MC_BASELINE,20,2026-12-03,2027-01-02,Outpatient_appointment_occured,7
PROSTAD,20,2026-12-02,2027-01-01,mri_performed,8
PROSTAD,20,2026-12-02,2027-01-01,biopsy_done,5
PROSTAD,20,2026-12-02,2027-01-01,Path_report_recieved,4
PROSTAD,20,2026-12-02,2027-01-01,Treatment_options_MDT_occured,5
PROSTAD,20,2026-12-02,2027-01-01,Outpatient_appointment_occured,6
